VendorNumber,Brand,ActualPrice,PurchasePrice,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost
2,90085,36.99,23.86,72,2663.28,1183.68,8.0,2624,45047.04,216.64
2,90609,24.99,17.0,96,2399.04,1799.28,2.08,5904,101355.84,487.44
60,771,14.99,11.44,1645,24658.55,17313.45,1295.3500000000001,156156,2533418.25,12128.16
60,3979,20.99,16.27,137585,2340509.15,1458887.8499999999,252842.1,11588668,188010342.25,900056.48
105,2529,29.99,23.25,480,14395.2,2399.2,377.59999999999997,664,23412.399999999998,124.78
105,8412,49.99,35.71,12280,613877.2000000001,517896.4,9686.0,85988,3031905.8,16159.01
105,8419,6.99,5.3,240,1677.6000000000001,1677.6000000000001,24.0,1992,70237.2,374.34
200,19715,10.99,7.53,114,1252.8600000000001,1055.04,12.6,2112,19282.56,99.03999999999999
200,20789,14.99,9.73,504,9066.96,1727.04,56.580000000000005,2112,19282.56,99.03999999999999
287,24921,15.49,10.4,624,9301.76,9100.39,68.64,10810,112785.9,577.16
287,24922,15.49,10.47,780,11718.2,10042.37,86.06,11730,122384.7,626.28
388,2034,32.99,21.32,84111,2419191.8899999997,1981511.0,66348.58,2401100,53451216.0,275262.0
388,2119,89.99,66.4,6095,521459.05,366982.07,4807.1,149607,3330421.92,17150.94
388,7241,34.99,20.68,6519,200804.81,158417.53,720.27,182853,4070515.68,20962.26
480,126,32.99,20.14,3190715,95513597.85,16172721.95,3350250.75,13487285825,166568003282.72,843844537.77
480,128,31.99,24.42,220,6762.8,5168.35,231.0,4281225,52873136.160000004,267858.81
480,129,31.99,24.99,495,15670.05,13910.6,519.75,11416600,140995029.76,714290.16
480,201,19.49,15.47,1980,38590.2,10719.5,2079.0,14270750,176243787.20000002,892862.7
480,278,28.99,21.96,3795,109852.04999999999,63613.0,3984.75,57083000,704975148.8000001,3571450.8
480,443,33.99,24.45,423775,15062517.25,9430896.75,333889.6,6871366125,84861383536.8,429913390.05
480,508,12.99,9.77,2108425,28727003.25,6768348.4,2213846.25,12504031150,154424806344.64,782326297.74
480,540,0.99,0.72,256135,253573.65,110587.95,13195.050000000001,2898389325,35795113180.32,181340414.37
480,565,20.49,15.52,9515,195979.84999999998,150296.84999999998,9990.75,189800975,2344042369.76,11875073.91
480,743,45.99,36.5,176880,8842231.200000001,5295440.7,139345.25,2748546450,33944553414.72,171965356.02
480,802,11.99,7.99,272910,3138320.9,2196345.8,215088.5,4914846300,60698360311.68,307501913.88
480,803,12.99,9.92,68750,902550.0,58010.700000000004,72187.5,108457700,1339452782.72,6785756.5200000005
480,804,15.49,11.56,15125,222186.25,167141.15,15881.25,295404525,3648246395.04,18482257.89
480,805,32.99,26.39,660,21773.4,14515.6,693.0,11416600,140995029.76,714290.16
480,810,11.99,7.19,173415,2075505.85,1335736.6,136639.25,2837025100,35037264895.36,177501104.76
480,824,26.99,20.76,363935,9822605.65,5851701.899999999,382131.75,5625529650,69475300914.24,351966476.34
480,903,24.99,18.79,520575,13821849.25,7304842.6,546603.75,7089708600,87557913480.96,443574189.36
