2025-08-12 00:47:57,712 - INFO - 🔍 Scanning directory: C:\Downloads\Project_Alpha\data

2025-08-12 00:47:57,714 - INFO - 📄 Processing file: begin_inventory.csv
2025-08-12 00:47:57,716 - INFO - 📥 Starting ingestion: C:\Downloads\Project_Alpha\data\begin_inventory.csv
2025-08-12 00:47:58,126 - INFO - ✅ Chunk 1 into 'begin_inventory' → Rows: 10000, Mem: 134.4 MB
2025-08-12 00:47:58,209 - INFO - ✅ Chunk 2 into 'begin_inventory' → Rows: 10000, Mem: 138.21 MB
2025-08-12 00:47:58,289 - INFO - ✅ Chunk 3 into 'begin_inventory' → Rows: 10000, Mem: 138.03 MB
2025-08-12 00:47:58,371 - INFO - ✅ Chunk 4 into 'begin_inventory' → Rows: 10000, Mem: 139.02 MB
2025-08-12 00:47:58,458 - INFO - ✅ Chunk 5 into 'begin_inventory' → Rows: 10000, Mem: 138.18 MB
2025-08-12 00:47:58,551 - INFO - ✅ Chunk 6 into 'begin_inventory' → Rows: 10000, Mem: 137.89 MB
2025-08-12 00:47:58,657 - INFO - ✅ Chunk 7 into 'begin_inventory' → Rows: 10000, Mem: 137.77 MB
2025-08-12 00:47:58,795 - INFO - ✅ Chunk 8 into 'begin_inventory' → Rows: 10000, Mem: 138.82 MB
2025-08-12 00:47:58,902 - INFO - ✅ Chunk 9 into 'begin_inventory' → Rows: 10000, Mem: 139.42 MB
2025-08-12 00:47:58,989 - INFO - ✅ Chunk 10 into 'begin_inventory' → Rows: 10000, Mem: 138.82 MB
2025-08-12 00:47:59,171 - INFO - ✅ Chunk 11 into 'begin_inventory' → Rows: 10000, Mem: 139.08 MB
2025-08-12 00:47:59,288 - INFO - ✅ Chunk 12 into 'begin_inventory' → Rows: 10000, Mem: 138.76 MB
2025-08-12 00:47:59,375 - INFO - ✅ Chunk 13 into 'begin_inventory' → Rows: 10000, Mem: 138.93 MB
2025-08-12 00:47:59,456 - INFO - ✅ Chunk 14 into 'begin_inventory' → Rows: 10000, Mem: 139.41 MB
2025-08-12 00:47:59,545 - INFO - ✅ Chunk 15 into 'begin_inventory' → Rows: 10000, Mem: 140.07 MB
2025-08-12 00:47:59,634 - INFO - ✅ Chunk 16 into 'begin_inventory' → Rows: 10000, Mem: 138.99 MB
2025-08-12 00:47:59,721 - INFO - ✅ Chunk 17 into 'begin_inventory' → Rows: 10000, Mem: 139.96 MB
2025-08-12 00:47:59,806 - INFO - ✅ Chunk 18 into 'begin_inventory' → Rows: 10000, Mem: 140.34 MB
2025-08-12 00:47:59,889 - INFO - ✅ Chunk 19 into 'begin_inventory' → Rows: 10000, Mem: 140.34 MB
2025-08-12 00:48:00,058 - INFO - ✅ Chunk 20 into 'begin_inventory' → Rows: 10000, Mem: 140.34 MB
2025-08-12 00:48:00,119 - INFO - ✅ Chunk 21 into 'begin_inventory' → Rows: 6529, Mem: 138.04 MB
2025-08-12 00:48:00,120 - INFO - ✅ Completed ingestion for 'begin_inventory' in 2.4 sec

2025-08-12 00:48:00,121 - INFO - 📄 Processing file: end_inventory.csv
2025-08-12 00:48:00,122 - INFO - 📥 Starting ingestion: C:\Downloads\Project_Alpha\data\end_inventory.csv
2025-08-12 00:48:00,531 - INFO - ✅ Chunk 1 into 'end_inventory' → Rows: 10000, Mem: 138.95 MB
2025-08-12 00:48:00,635 - INFO - ✅ Chunk 2 into 'end_inventory' → Rows: 10000, Mem: 139.97 MB
2025-08-12 00:48:00,722 - INFO - ✅ Chunk 3 into 'end_inventory' → Rows: 10000, Mem: 139.98 MB
2025-08-12 00:48:00,809 - INFO - ✅ Chunk 4 into 'end_inventory' → Rows: 10000, Mem: 140.39 MB
2025-08-12 00:48:00,891 - INFO - ✅ Chunk 5 into 'end_inventory' → Rows: 10000, Mem: 140.52 MB
2025-08-12 00:48:00,978 - INFO - ✅ Chunk 6 into 'end_inventory' → Rows: 10000, Mem: 140.56 MB
2025-08-12 00:48:01,073 - INFO - ✅ Chunk 7 into 'end_inventory' → Rows: 10000, Mem: 141.02 MB
2025-08-12 00:48:01,162 - INFO - ✅ Chunk 8 into 'end_inventory' → Rows: 10000, Mem: 141.02 MB
2025-08-12 00:48:01,313 - INFO - ✅ Chunk 9 into 'end_inventory' → Rows: 10000, Mem: 141.03 MB
2025-08-12 00:48:01,404 - INFO - ✅ Chunk 10 into 'end_inventory' → Rows: 10000, Mem: 139.62 MB
2025-08-12 00:48:01,497 - INFO - ✅ Chunk 11 into 'end_inventory' → Rows: 10000, Mem: 140.01 MB
2025-08-12 00:48:01,586 - INFO - ✅ Chunk 12 into 'end_inventory' → Rows: 10000, Mem: 140.55 MB
2025-08-12 00:48:01,678 - INFO - ✅ Chunk 13 into 'end_inventory' → Rows: 10000, Mem: 140.57 MB
2025-08-12 00:48:01,771 - INFO - ✅ Chunk 14 into 'end_inventory' → Rows: 10000, Mem: 140.57 MB
2025-08-12 00:48:01,866 - INFO - ✅ Chunk 15 into 'end_inventory' → Rows: 10000, Mem: 140.57 MB
2025-08-12 00:48:01,954 - INFO - ✅ Chunk 16 into 'end_inventory' → Rows: 10000, Mem: 140.57 MB
2025-08-12 00:48:02,046 - INFO - ✅ Chunk 17 into 'end_inventory' → Rows: 10000, Mem: 140.57 MB
2025-08-12 00:48:02,139 - INFO - ✅ Chunk 18 into 'end_inventory' → Rows: 10000, Mem: 139.59 MB
2025-08-12 00:48:02,289 - INFO - ✅ Chunk 19 into 'end_inventory' → Rows: 10000, Mem: 140.57 MB
2025-08-12 00:48:02,382 - INFO - ✅ Chunk 20 into 'end_inventory' → Rows: 10000, Mem: 140.04 MB
